boat_name,boat_type,boat_description,price,boat_url,loa_m,loa_ft,beam_m,beam_ft,draft_m,draft_ft,deadweight_t,displacement_t,fuel_capacity_l,water_tank_l,max_people,cabins,berths_for_guests,bathrooms,mainsail_m2,mainsail_optional_m2,jib_self_m2,genoa_m2,gennaker_m2,code_zero_m2,keel,ce_class,hull_type,hull_material,design,type_by_usage,deck_arrangement,builder,country,series,model,period_of_manufacture,crew,genoa_optional_m2,code_zero_optional_m2,spinnaker_optional_m2,mainsail_in_m2,spinnaker_m2,jib_m2,jib_optional_m2,max_speed_kt,cruising_speed_kt,gennaker_optional_m2,mainsail_lazy_bag_m2,mainsail_lazy_bag_optional_m2,jib_self_optional_m2,genoa_self_optional_m2,code_zero_optional_optional_m2,spinnaker_optional_optional_m2
Flagman Yachts Antares 101',Sailing yacht,"The Flagman Yachts Antares 101' is produced by the brand Flagman Yachts since 2016. Flagman Yachts Antares 101' is a 31.25 meters sailing superyacht with a draft of 3.70 meters. The yacht has a steel hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Flagman Yachts Antares 101' is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/10842-flagman-yachts-antares-101,31.25,102.58333333333333,7.5,24.666666666666668,3.7,12.166666666666666,,115 (half load),,,,,,,,,,,,,Fixed,A - Ocean,Monohull,Steel,Modern / Mainstream,Cruiser,With deck saloon,Flagman Yachts,Ukraine,,Antares 101',from 2016,,,,,,,,,,,,,,,,,
Flagman Yachts Sail Explorer 121',Sailing yacht,"The Flagman Yachts Sail Explorer 121' is produced by the brand Flagman Yachts since 2016. Flagman Yachts Sail Explorer 121' is a 36.90 meters sailing superyacht with accommodation for 10 guests and a draft of 3.50 meters which can cruise at 10 knots. The yacht has a steel hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Flagman Yachts Sail Explorer 121' is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/10841-flagman-yachts-sail-explorer-121,36.9,121.08333333333333,11.1,36.5,3.5,11.5,,230 (half load),,,10.0,,,,,,,,,,Fixed,A - Ocean,Monohull,Steel,Modern / Mainstream,Cruiser,Other,Flagman Yachts,Ukraine,,Sail Explorer 121',from 2016,9.0,,,,,,,,,10.0,,,,,,,
Flagman Yachts Solar 121',Sailing yacht,"The Flagman Yachts Solar 121' is produced by the brand Flagman Yachts since 2016. Flagman Yachts Solar 121' is a 36.90 meters sailing superyacht with accommodation for 10 guests and a draft of 3.50 meters. The yacht with a CE certification class (A) and can navigate in the open ocean. The base price of a new Flagman Yachts Solar 121' is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/10840-flagman-yachts-solar-121,36.9,121.08333333333333,8.38,27.5,3.5,11.5,,155 (half load),10000.0,5500.0,10.0,,,,,,,,,,Fixed,A - Ocean,,,,Cruiser,With deck saloon,Flagman Yachts,Ukraine,,Solar 121',from 2016,5.0,,,,,,,,,,,,,,,,
Flagman Yachts Epron 131',Sailing yacht,"The Flagman Yachts Epron 131' is produced by the brand Flagman Yachts since 2016. Flagman Yachts Epron 131' is a 40.00 meters sailing superyacht with accommodation for 10 guests and a draft of 4.50 meters. The yacht has a steel hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Flagman Yachts Epron 131' is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/10838-flagman-yachts-epron-131,40.0,131.25,12.0,39.416666666666664,4.5,14.833333333333334,,,,,10.0,,,,,,,,,,Fixed,A - Ocean,Monohull,Steel,Modern / Mainstream,Cruiser,With central / scandinavian cockpit,Flagman Yachts,Ukraine,,Epron 131',from 2016,14.0,,,,,,,,,,,,,,,,
Flash Catamarans Flash Cat 75 Sailing Passenger,Sailing yacht,"The Flash Catamarans Flash Cat 75 Sailing Passenger is produced by the brand Flash Catamarans since 2018. Flash Catamarans Flash Cat 75 Sailing Passenger is a 23.00 meters sailing cruising multihull with accommodation for 100 guests and a draft of 1.22 meters. The base price of a new Flash Catamarans Flash Cat 75 Sailing Passenger is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/7865-flash-catamarans-flash-cat-75-sailing-passenger,23.0,75.5,10.0,32.833333333333336,1.22,4.083333333333333,,,,,100.0,,,2.0,,,,,,,,,,,,,,Flash Catamarans,Spain,,Flash Cat 75 Sailing Passenger,from 2018,,,,,,,,,,,,,,,,,
Flash Catamarans Ladyhawke 37,Sailing yacht,The Flash Catamarans Ladyhawke 37 is produced by the brand Flash Catamarans since 2017. Flash Catamarans Ladyhawke 37 is a 11.40 meters sailing cruising multihull with 3 guest cabins and a draft of 0.90 meters. The yacht has a fiberglass / grp hull with a CE certification class (B) and can navigate no further than 200 miles off the coastline. The base price of a new Flash Catamarans Ladyhawke 37 is €229.0 thousand.,"from €229,000",https://itboat.com/models/7870-flash-catamarans-ladyhawke-37,11.4,37.416666666666664,7.0,23.0,0.9,3.0,,3.8 (half load),90.0,240.0,,3.0,6.0,1.0,,,,,,,Fixed,B - Sea,Catamaran,Fiberglass / GRP,Modern / Mainstream,Cruiser,With deck saloon,Flash Catamarans,Spain,,Ladyhawke 37,from 2017,,,,,,,,,,,,,,,,,
Flash Catamarans Ladyhawke 33,Sailing yacht,The Flash Catamarans Ladyhawke 33 is produced by the brand Flash Catamarans since 2016. Flash Catamarans Ladyhawke 33 is a 10.00 meters sailing cruising multihull with 3 guest cabins and a draft of 0.85 meters. The base price of a new Flash Catamarans Ladyhawke 33 is €175.0 thousand.,"from €175,000",https://itboat.com/models/7869-flash-catamarans-ladyhawke-33,10.0,32.833333333333336,5.5,18.083333333333332,0.85,2.8333333333333335,,3.5 (half load),100.0,240.0,,3.0,6.0,1.0,,,,,,,,,,,,,,Flash Catamarans,Spain,,Ladyhawke 33,from 2016,,,,,,,,,,,,,,,,,
Flash Catamarans 52 S,Sailing yacht,"The Flash Catamarans 52 S is produced by the brand Flash Catamarans since 2013. Flash Catamarans 52 S is a 15.60 meters sailing cruising multihull with 4 guest cabins and a draft of 1.22 meters. The base price of a new Flash Catamarans 52 S is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/3890-flash-catamarans-52-s,15.6,51.25,8.6,28.25,1.22,4.083333333333333,,7.5 (half load),,,,4.0,8.0,,,,,,,,,,,,,,,Flash Catamarans,Spain,,52 S,from 2013,,,,,,,,,,,,,,,,,
Fusion II,Sailing yacht,"The Fusion II is produced by the brand Fusion Sailboats since 2021. Fusion II is a 4.00 meters sport keel monotype with accommodation for 3 guests and a draft of 1.00 meters. The yacht has a fiberglass / grp hull with a CE certification class (D) and can navigate in protected waters. The base price of a new Fusion II is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/12470-fusion-sailboats-ii,4.0,13.166666666666666,1.89,6.25,1.0,3.3333333333333335,0.09,,,,3.0,,,,,,,,,,Fixed,D - Protected waters (inland waters),Monohull,Fiberglass / GRP,Modern / Mainstream,Racing,Other,Fusion Sailboats,Great Britain,,II,from 2021,,,,,,,,,,,,,,,,,
GT 47,Sailing yacht,"The GT 47 is produced by the brand GT Yachts since 2023. GT 47 is a 14.28 meters cruising yacht with a Mediterranean cockpit with 3 guest cabins and a draft of 1.60 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new GT 47 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/14111-gt-yachts-47,14.28,46.916666666666664,4.65,15.333333333333334,1.6,5.25,,18 (half load),,,,3.0,6.0,2.0,,,,,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,GT Yachts,Great Britain,,47,from 2023,,,,,,,,,,,,,,,,,
GT 325,Sailing yacht,"The GT 325 is produced by the brand GT Yachts since 2022. GT 325 is a 9.97 meters cruising yacht with a Mediterranean cockpit with 2 guest cabins and a draft of 1.42 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new GT 325 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/14109-gt-yachts-325,9.97,32.75,3.56,11.75,1.42,4.666666666666667,,6 (half load),150.0,150.0,,2.0,4.0,1.0,28.0,,25.0,29.0,,65.0,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,GT Yachts,Great Britain,,325,from 2022,,,,,,,,,,,,,,,,,
GT 35,Sailing yacht,"The GT 35 is produced by the brand GT Yachts since 2014. GT 35 is a 10.70 meters cruising yacht with a Mediterranean cockpit with 2 guest cabins and a draft of 1.95 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new GT 35 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/14110-gt-yachts-35,10.7,35.166666666666664,3.6,11.833333333333334,1.95,6.416666666666667,,8 (half load),230.0,230.0,,2.0,4.0,1.0,36.0,,,31.0,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,GT Yachts,Great Britain,,35,from 2014,,,,,,,,,,,,,,,,,
GreenBoats FLAX27 Daysailer,Sailing yacht,"The GreenBoats FLAX27 Daysailer is produced by the brand GreenBoats since 2019. GreenBoats FLAX27 Daysailer is a 8.20 meters deysailer with a draft of 0.65 meters. The yacht has a wood hull with a CE certification class (C) and can navigate along the coastline, on rivers and canals. The base price of a new GreenBoats FLAX27 Daysailer is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/15409-greenboats-flax27-daysailer,8.2,26.916666666666668,2.25,7.416666666666667,0.65,2.1666666666666665,,,,,,,,,19.0,,,,,38.0,Fixed,C - Coastal waters,Monohull,Wood,Modern / Mainstream,Daysailer,Other,GreenBoats,Germany,,FLAX27 Daysailer,from 2019,,,,,,,12.0,,,,,,,,,,
Gulliver 57 Performance,Sailing yacht,"The Gulliver 57 Performance is produced by the brand Gulliver Sail since 2018. Gulliver 57 Performance is a 18.60 meters aluminium sailing yacht with accommodation for 6 guests and a draft of 3.50 meters. The yacht has a aluminum hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Gulliver 57 Performance is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/17481-gulliver-sail-57-performance,18.6,61.083333333333336,5.17,17.0,3.5,11.5,,16 (half load),450.0,400.0,6.0,,3.0,,101.0,,,92.0,330.0,,Lifting,A - Ocean,Monohull,Aluminum,Modern / Mainstream,Performance Cruiser,With mediterranean cockpit,Gulliver Sail,Italy,,57 Performance,from 2018,,,,,,,,,,,,,,,,,
Gulliver 57 Classic,Sailing yacht,"The Gulliver 57 Classic is produced by the brand Gulliver Sail since 2018. Gulliver 57 Classic is a 18.60 meters aluminium sailing yacht with 4 guest cabins and a draft of 3.50 meters. The yacht has a aluminum hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Gulliver 57 Classic is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/17480-gulliver-sail-57-classic,18.6,61.083333333333336,5.17,17.0,3.5,11.5,,17 (half load),,,,4.0,8.0,,95.0,,,92.0,285.0,,Lifting,A - Ocean,Monohull,Aluminum,Modern / Mainstream,Cruiser,With mediterranean cockpit,Gulliver Sail,Italy,,57 Classic,from 2018,,,,,,,,,,,,,,,,,
Gunboat 70,Sailing yacht,"The Gunboat 70 is produced by the brand Gunboat since 2024. Gunboat 70 is a 21.95 meters sailing cruising multihull with 5 guest cabins and a draft of 4.50 meters. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Gunboat 70 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/16643-gunboat-70,21.95,72.08333333333333,9.2,30.25,4.5,14.833333333333334,,27 (half load),756.0,756.0,,5.0,10.0,5.0,,,,,,,Сenterboard,A - Ocean,Catamaran,Carbon,Modern / Mainstream,Cruiser,With deck saloon,Gunboat,US,,70,from 2024,,,,,,,,,,,,,,,,,
Gunboat 72,Sailing yacht,"The Gunboat 72 is produced by the brand Gunboat since 2022. Gunboat 72 is a 22.00 meters sailing cruising multihull with 4 guest cabins and a draft of 4.60 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Gunboat 72 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/13060-gunboat-72,22.0,72.25,9.4,30.916666666666668,4.6,15.166666666666666,,28 (unloaded),1300.0,840.0,,4.0,8.0,,170.0,,,,,,Fixed Lifting,A - Ocean,Catamaran,Fiberglass / GRP,Modern / Mainstream,Cruiser,With deck saloon,Gunboat,US,,72,from 2022,2.0,,,,,,80.0,,,,,,,,,,
Gunboat 80,Sailing yacht,"The Gunboat 80 is produced by the brand Gunboat since 2021. Gunboat 80 is a 23.95 meters sailing cruising multihull with a draft of 4.60 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Gunboat 80 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/12621-gunboat-80,23.95,78.58333333333333,10.0,32.833333333333336,4.6,15.166666666666666,,30 (half load),,,,,,,,,,,,,Fixed,A - Ocean,Catamaran,Fiberglass / GRP,Modern / Mainstream,Cruiser,With deck saloon,Gunboat,US,,80,from 2021,,,,,,,,,,,,,,,,,
HH 56,Sailing yacht,The HH 56 will be produced by the brand HH Catamarans from 2025. HH 56 is a 16.70 meters sailing cruising multihull with 3 guest cabins and a draft of 3.30 meters. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new HH 56 is $3.4 million.,"from $3,400,000",https://itboat.com/models/17914-hh-catamarans-56,16.7,54.833333333333336,8.1,26.583333333333332,3.3,10.833333333333334,,14 (unloaded),1400.0,1480.0,,3.0,6.0,3.0,,,,,,,Fixed,A - Ocean,Catamaran,Carbon,Modern / Mainstream,Cruiser,With deck saloon,HH Catamarans,US,,56,from 2025,,,,,,,,,,,,,,,,,
HH 52,Sailing yacht,The HH 52 is produced by the brand HH Catamarans since 2024. HH 52 is a 17.05 meters sailing cruising multihull with 2 guest cabins and a draft of 1.65 meters. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new HH 52 is $1.6 million.,"from $1,570,000",https://itboat.com/models/16504-hh-catamarans-52,17.05,56.0,7.44,24.416666666666668,1.65,5.416666666666667,,,,,,2.0,4.0,2.0,98.0,,,,,,Сenterboard,A - Ocean,Catamaran,Carbon,Modern / Mainstream,Cruiser,With deck saloon,HH Catamarans,US,,52,from 2024,,,,,,,40.0,,,,,,,,,,
HH OC44,Sailing yacht,The HH OC44 is produced by the brand HH Catamarans since 2022. HH OC44 is a 15.15 meters sailing cruising multihull with 3 guest cabins and a draft of 1.52 meters. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new HH OC44 is $1.6 million.,"from $1,550,000",https://itboat.com/models/13178-hh-catamarans-oc44,15.15,49.75,7.15,23.5,1.52,5.0,,9 (unloaded),,,,3.0,6.0,2.0,74.0,,,,,,Fixed,A - Ocean,Catamaran,Carbon,Modern / Mainstream,Cruiser,With deck saloon,HH Catamarans,US,,OC44,from 2022,,,,,,,,,,,,,,,,,
HH 88,Sailing yacht,"The HH 88 is produced by the brand HH Catamarans since 2022. HH 88 is a 26.82 meters sailing cruising multihull with 5 guest cabins and a draft of 2.45 meters. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new HH 88 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/13177-hh-catamarans-88,26.82,88.0,11.1,36.5,2.45,8.083333333333334,,45 (unloaded),,,,5.0,10.0,,246.0,,,,,,Сenterboard,A - Ocean,Catamaran,Carbon,Modern / Mainstream,Performance Cruiser,With deck saloon,HH Catamarans,US,,88,from 2022,4.0,,,,,,78.0,,,,,,,,,,
HH 60,Sailing yacht,"The HH 60 is produced by the brand HH Catamarans since 2022. HH 60 is a 17.95 meters sailing cruising multihull with 3 guest cabins and a draft of 4.00 meters. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new HH 60 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/13174-hh-catamarans-60,17.95,58.916666666666664,8.12,26.666666666666668,4.0,13.166666666666666,,16 (unloaded),,,,3.0,6.0,3.0,140.0,,,,,,Сenterboard,A - Ocean,Catamaran,Carbon,Modern / Mainstream,Cruiser,With deck saloon,HH Catamarans,US,,60,from 2022,,,,,,,43.0,,,,,,,,,,
HH 44,Sailing yacht,"The HH 44 is produced by the brand HH Catamarans since 2022. HH 44 is a 15.15 meters sailing cruising multihull with 2 guest cabins and a draft of 3.00 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new HH 44 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/13171-hh-catamarans-44,15.15,49.75,7.15,23.5,3.0,9.916666666666666,,9 (unloaded),,,6.0,2.0,3.0,,74.0,,,,149.0,,Сenterboard,A - Ocean,Catamaran,Fiberglass / GRP,Modern / Mainstream,Cruiser,With deck saloon,HH Catamarans,US,,44,from 2022,,,,,,,24.0,,,,,,,,,,
HH OC50,Sailing yacht,The HH OC50 is produced by the brand HH Catamarans since 2020. HH OC50 is a 15.79 meters sailing cruising multihull with 3 guest cabins and a draft of 1.56 meters. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new HH OC50 is $1.4 million.,"from $1,400,000",https://itboat.com/models/13179-hh-catamarans-oc50,15.79,51.833333333333336,7.44,24.416666666666668,1.56,5.166666666666667,,13 (unloaded),,,,3.0,6.0,3.0,81.0,,,,,,Fixed,A - Ocean,Catamaran,Carbon,Modern / Mainstream,Cruiser,With deck saloon,HH Catamarans,US,,OC50,from 2020,,,,,,,45.0,,,,,,,,,,
HH 50,Sailing yacht,The HH 50 is produced by the brand HH Catamarans since 2020. HH 50 is a 15.79 meters sailing cruising multihull with 3 guest cabins and a draft of 3.30 meters which can reach speeds up to 9 knots. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new HH 50 is $1.4 million.,"from $1,400,000",https://itboat.com/models/13172-hh-catamarans-50,15.79,51.833333333333336,7.44,24.416666666666668,3.3,10.833333333333334,,12 (unloaded),,,,3.0,6.0,3.0,,,,,,,Сenterboard,A - Ocean,Catamaran,Carbon,Modern / Mainstream,Performance Cruiser,With deck saloon,HH Catamarans,US,,50,from 2020,,,,136.0,,,38.0,59.0,9.0,7.0,,81.0,,,,,
HH 55,Sailing yacht,"The HH 55 is produced by the brand HH Catamarans since 2019. HH 55 is a 15.79 meters sailing cruising multihull with 3 guest cabins and a draft of 3.30 meters. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new HH 55 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/13173-hh-catamarans-55,15.79,51.833333333333336,7.44,24.416666666666668,3.3,10.833333333333334,,12 (unloaded),,,6.0,3.0,3.0,,81.0,,,,,,Сenterboard,A - Ocean,Catamaran,Carbon,Modern / Mainstream,Cruiser,With deck saloon,HH Catamarans,US,,55,from 2019,,,,136.0,,,38.0,59.0,,,,,,,,,
HH 66,Sailing yacht,"The HH 66 is produced by the brand HH Catamarans since 2016. HH 66 is a 20.10 meters sailing cruising multihull with 3 guest cabins and a draft of 4.00 meters. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new HH 66 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/13175-hh-catamarans-66,20.1,66.0,8.7,28.583333333333332,4.0,13.166666666666666,,18 (unloaded),,,,3.0,6.0,3.0,144.0,,,,,,Сenterboard,A - Ocean,Catamaran,Carbon,Modern / Mainstream,Performance Cruiser,With deck saloon,HH Catamarans,US,,66,from 2016,,,,290.0,,,59.0,,,,,,,,,,
Haber 32C4 Cutter,Sailing yacht,"The Haber 32C4 Cutter is produced by the brand Haber Yachts since 2018. Haber 32C4 Cutter is a 11.80 meters cabin dinghy with 2 guest cabins and a draft of 1.90 meters. The yacht has a fiberglass / grp hull with a CE certification class (C) and can navigate along the coastline, on rivers and canals. The base price of a new Haber 32C4 Cutter is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/9250-haber-yachts-32c4-cutter,11.8,38.75,2.98,9.833333333333334,1.9,6.25,7.3,,,,,2.0,6.0,1.0,32.0,,,27.0,,,Сenterboard,C - Coastal waters,Monohull,Fiberglass / GRP,Classic / Retro,Cruiser,With deck saloon,Haber Yachts,Poland,Sailing Yachts,32C4 Cutter,from 2018,,,,,,,,,,,,,,,,,
Haber 620 Sloop,Sailing yacht,"The Haber 620 Sloop is produced by the brand Haber Yachts since 2015. Haber 620 Sloop is a 6.50 meters cabin dinghy with 1 guest cabin and a draft of 1.35 meters. The yacht has a fiberglass / grp hull with a CE certification class (B) and can navigate no further than 200 miles off the coastline. The base price of a new Haber 620 Sloop is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/9252-haber-yachts-620-sloop,6.5,21.333333333333332,2.5,8.25,1.35,4.5,1.3,,,,,1.0,5.0,1.0,,,,,,,Сenterboard,B - Sea,Monohull,Fiberglass / GRP,Classic / Retro,Cruiser,With deck saloon,Haber Yachts,Poland,Sailing Yachts,620 Sloop,from 2015,,,,,,,,,,,,,,,,,
Haber 660C4,Sailing yacht,"The Haber 660C4 is produced by the brand Haber Yachts since 2014. Haber 660C4 is a 6.60 meters cabin dinghy with 1 guest cabin and a draft of 1.45 meters. The yacht has a fiberglass / grp hull with a CE certification class (B) and can navigate no further than 200 miles off the coastline. The base price of a new Haber 660C4 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/9255-haber-yachts-660c4,6.6,21.666666666666668,2.5,8.25,1.45,4.833333333333333,1.85,,,,,1.0,4.0,1.0,12.0,,,9.0,,,Сenterboard,B - Sea,Monohull,Fiberglass / GRP,Classic / Retro,Cruiser,With deck saloon,Haber Yachts,Poland,Sailing Yachts,660C4,from 2014,,,,,,,,,,,,,,,,,
Haber 34C4,Sailing yacht,"The Haber 34C4 is produced by the brand Haber Yachts since 2014. Haber 34C4 is a 12.50 meters classic yacht with 2 guest cabins and a draft of 0.70 meters. The yacht has a aluminum hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Haber 34C4 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/4796-haber-yachts-34c4,12.5,41.083333333333336,3.65,12.0,0.7,2.3333333333333335,,,,,,2.0,7.0,1.0,,,,,,,Lifting,A - Ocean,Monohull,Aluminum,Classic / Retro,Cruiser,With deck saloon,Haber Yachts,Poland,Sailing Yachts,34C4,from 2014,,,,,,,,,,,,,,,,,
Haber 800 Sloop,Sailing yacht,"The Haber 800 Sloop is produced by the brand Haber Yachts since 2013. Haber 800 Sloop is a 8.80 meters cabin dinghy with 1 guest cabin and a draft of 1.80 meters. The yacht has a fiberglass / grp hull with a CE certification class (B) and can navigate no further than 200 miles off the coastline. The base price of a new Haber 800 Sloop is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/9260-haber-yachts-800-sloop,8.8,28.916666666666668,2.5,8.25,1.8,5.916666666666667,2.6,,,,,1.0,5.0,1.0,21.0,,,16.0,,,Lifting,B - Sea,Monohull,Fiberglass / GRP,Classic / Retro,Cruiser,With mediterranean cockpit,Haber Yachts,Poland,Sailing Yachts,800 Sloop,from 2013,,,,,,,,,,,,,,,,,
Haber 800 Cutter,Sailing yacht,"The Haber 800 Cutter is produced by the brand Haber Yachts since 2010. Haber 800 Cutter is a 9.50 meters cabin dinghy with 1 guest cabin and a draft of 1.80 meters. The yacht has a fiberglass / grp hull with a CE certification class (B) and can navigate no further than 200 miles off the coastline. The base price of a new Haber 800 Cutter is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/9258-haber-yachts-800-cutter,9.5,31.25,2.5,8.25,1.8,5.916666666666667,,,,,,1.0,5.0,1.0,21.0,,,22.0,,,Сenterboard,B - Sea,Monohull,Fiberglass / GRP,Classic / Retro,Cruiser,With deck saloon,Haber Yachts,Poland,Sailing Yachts,800 Cutter,from 2010,,,,,,,,,,,,,,,,,
Haber 660 Cutter,Sailing yacht,"The Haber 660 Cutter is produced by the brand Haber Yachts since 2010. Haber 660 Cutter is a 7.70 meters cabin dinghy with 1 guest cabin and a draft of 1.45 meters. The yacht has a fiberglass / grp hull with a CE certification class (B) and can navigate no further than 200 miles off the coastline. The base price of a new Haber 660 Cutter is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/9254-haber-yachts-660-cutter,7.7,25.333333333333332,2.5,8.25,1.45,4.833333333333333,1.8,,,,,1.0,4.0,1.0,12.0,,6.0,12.0,,,Сenterboard,B - Sea,Monohull,Fiberglass / GRP,Classic / Retro,Cruiser,With deck saloon,Haber Yachts,Poland,Sailing Yachts,660 Cutter,from 2010,,,,,,,,,,,,,,,,,
Haber 800 C4,Sailing yacht,"The Haber 800 C4 is produced by the brand Haber Yachts since 2010. Haber 800 C4 is a 9.50 meters classic yacht with 1 guest cabin and a draft of 1.40 meters. The yacht has a aluminum hull with a CE certification class (B) and can navigate no further than 200 miles off the coastline. The base price of a new Haber 800 C4 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/1816-haber-yachts-800-c4,9.5,31.25,2.5,8.25,1.4,4.666666666666667,,,,,,1.0,5.0,1.0,,,,,,,Lifting,B - Sea,Monohull,Aluminum,Classic / Retro,Cruiser,With deck saloon,Haber Yachts,Poland,Sailing Yachts,800 C4,from 2010,,,,,,,,,,,,,,,,,
Hanstaiger X1,Sailing yacht,"The Hanstaiger X1 is produced by the brand Hanstaiger since 2021. Hanstaiger X1 is a 19.72 meters sailing trimaran with 3 guest cabins and a draft of 0.92 meters. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Hanstaiger X1 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/12494-hanstaiger-x1,19.72,64.75,10.0,32.833333333333336,0.92,3.0833333333333335,,40 (full load),,,,3.0,6.0,3.0,,,,,,,Fixed,A - Ocean,Trimaran,Carbon,Designer / High-Tech,Cruiser,With deck saloon,Hanstaiger,Spain,,X1,from 2021,4.0,,,,,,,,,,,,,,,,
HeySea Seaview 59,Sailing yacht,"The HeySea Seaview 59 will be produced by the brand HeySea from 2025. HeySea Seaview 59 is a 18.30 meters sailing cruising multihull with 4 guest cabins and a draft of 1.67 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new HeySea Seaview 59 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/18157-heysea-seaview-59,18.3,60.083333333333336,8.8,28.916666666666668,1.67,5.5,,,1000.0,1000.0,,4.0,8.0,4.0,110.0,,,,,,Fixed,A - Ocean,Catamaran,Fiberglass / GRP,Modern / Mainstream,Cruiser,With deck saloon,HeySea,Taiwan,Seaview,Seaview 59,from 2025,,,,,,,65.0,,,,,,,,,,
